"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.906164","0.955898"
"jittering_0.05","jittering","0.05","0.906164","0.955898"
"jittering_0.1","jittering","0.1","0.906164","0.955898"
"jittering_0.2","jittering","0.2","0.906164","0.955898"
"jittering_0.4","jittering","0.4","0.906164","0.955898"
"missing_0","missing","0","0.906164","0.955898"
"missing_0.05","missing","0.05","0.870396","0.801674"
"missing_0.1","missing","0.1","0.809893","0.746651"
"missing_0.2","missing","0.2","0.718988","0.746499"
"missing_0.4","missing","0.4","0.694254","0.752169"
"outlier_0","outlier","0","0.906164","0.955898"
"outlier_0.05","outlier","0.05","0.729985","0.719064"
"outlier_0.1","outlier","0.1","0.608904","0.671918"
"outlier_0.2","outlier","0.2","0.551027","0.644292"
"outlier_0.4","outlier","0.4","0.598135","0.650304"
