Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.964117,0.941971
jittering_0.05,jittering,0.05,0.964117,0.941971
jittering_0.1,jittering,0.1,0.964117,0.941971
jittering_0.2,jittering,0.2,0.964117,0.941971
jittering_0.4,jittering,0.4,0.964117,0.941971
missing_0,missing,0,0.964117,0.941971
missing_0.05,missing,0.05,0.925381,0.914536
missing_0.1,missing,0.1,0.870662,0.911796
missing_0.2,missing,0.2,0.754756,0.859209
missing_0.4,missing,0.4,0.669368,0.765830
outlier_0,outlier,0,0.964117,0.941971
outlier_0.05,outlier,0.05,0.779414,0.754756
outlier_0.1,outlier,0.1,0.572793,0.732801
outlier_0.2,outlier,0.2,0.556469,0.702473
outlier_0.4,outlier,0.4,0.581355,0.663508
scaling_0,scaling,0,0.964117,0.941971
scaling_0.05,scaling,0.05,0.964117,0.941971
scaling_0.1,scaling,0.1,0.964117,0.941971
scaling_0.2,scaling,0.2,0.964117,0.941971
scaling_0.4,scaling,0.4,0.964117,0.941971
trend_0,trend,0,0.964117,0.941971
trend_0.05,trend,0.05,0.964117,0.941971
trend_0.1,trend,0.1,0.964117,0.941971
trend_0.2,trend,0.2,0.964117,0.941971
trend_0.4,trend,0.4,0.964117,0.941971
