"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.966895","0.983447"
"jittering_0.05","jittering","0.05","0.966895","0.983447"
"jittering_0.1","jittering","0.1","0.966895","0.983447"
"jittering_0.2","jittering","0.2","0.966895","0.983447"
"jittering_0.4","jittering","0.4","0.966895","0.983447"
"missing_0","missing","0","0.966895","0.983447"
"missing_0.05","missing","0.05","0.964193","0.977930"
"missing_0.1","missing","0.1","0.925723","0.969635"
"missing_0.2","missing","0.2","0.856773","0.972451"
"missing_0.4","missing","0.4","0.796043","0.958676"
"outlier_0","outlier","0","0.966895","0.983447"
"outlier_0.05","outlier","0.05","0.831849","0.955860"
"outlier_0.1","outlier","0.1","0.735616","0.928311"
"outlier_0.2","outlier","0.2","0.625457","0.936644"
"outlier_0.4","outlier","0.4","0.630784","0.886986"
