"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.964117","0.980708"
"jittering_0.05","jittering","0.05","0.964117","0.980708"
"jittering_0.1","jittering","0.1","0.964117","0.980708"
"jittering_0.2","jittering","0.2","0.964117","0.980708"
"jittering_0.4","jittering","0.4","0.964117","0.980708"
"missing_0","missing","0","0.964117","0.980708"
"missing_0.05","missing","0.05","0.920015","0.966857"
"missing_0.1","missing","0.1","0.839954","0.942009"
"missing_0.2","missing","0.2","0.741096","0.886910"
"missing_0.4","missing","0.4","0.688775","0.776903"
"outlier_0","outlier","0","0.964117","0.980708"
"outlier_0.05","outlier","0.05","0.741058","0.760426"
"outlier_0.1","outlier","0.1","0.553729","0.710769"
"outlier_0.2","outlier","0.2","0.531735","0.713508"
"outlier_0.4","outlier","0.4","0.572793","0.713508"
