Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.975190,0.950381
jittering_0.05,jittering,0.05,0.975190,0.950381
jittering_0.1,jittering,0.1,0.975190,0.950381
jittering_0.2,jittering,0.2,0.975190,0.950381
jittering_0.4,jittering,0.4,0.975190,0.950381
missing_0,missing,0,0.975190,0.950381
missing_0.05,missing,0.05,0.884170,0.873212
missing_0.1,missing,0.1,0.798782,0.809817
missing_0.2,missing,0.2,0.722032,0.735654
missing_0.4,missing,0.4,0.628311,0.724505
outlier_0,outlier,0,0.975190,0.950381
outlier_0.05,outlier,0.05,0.762861,0.702359
outlier_0.1,outlier,0.1,0.515068,0.683257
outlier_0.2,outlier,0.2,0.584056,0.644597
outlier_0.4,outlier,0.4,0.633600,0.644559
scaling_0,scaling,0,0.975190,0.950381
scaling_0.05,scaling,0.05,0.975190,0.950381
scaling_0.1,scaling,0.1,0.975190,0.950381
scaling_0.2,scaling,0.2,0.975190,0.950381
scaling_0.4,scaling,0.4,0.975190,0.950381
trend_0,trend,0,0.975190,0.950381
trend_0.05,trend,0.05,0.975190,0.950381
trend_0.1,trend,0.1,0.975190,0.950381
trend_0.2,trend,0.2,0.975190,0.950381
trend_0.4,trend,0.4,0.975190,0.950381
