dataset,metric,classifier,noise_type,intensity,accuracy
ECG200,lcss,1nn,jittering,0.0,0.86
ECG200,lcss,svm,jittering,0.0,0.86
ECG200,lcss,1nn,jittering,0.05,0.86
ECG200,lcss,svm,jittering,0.05,0.85
ECG200,lcss,1nn,jittering,0.1,0.86
ECG200,lcss,svm,jittering,0.1,0.84
ECG200,lcss,1nn,jittering,0.2,0.855
ECG200,lcss,svm,jittering,0.2,0.86
ECG200,lcss,1nn,jittering,0.4,0.82
ECG200,lcss,svm,jittering,0.4,0.83
ECG200,lcss,1nn,missing,0.0,0.86
ECG200,lcss,svm,missing,0.0,0.86
ECG200,lcss,1nn,missing,0.05,0.83
ECG200,lcss,svm,missing,0.05,0.835
ECG200,lcss,1nn,missing,0.1,0.845
ECG200,lcss,svm,missing,0.1,0.84
ECG200,lcss,1nn,missing,0.2,0.88
ECG200,lcss,svm,missing,0.2,0.8
ECG200,lcss,1nn,missing,0.4,0.795
ECG200,lcss,svm,missing,0.4,0.765
ECG200,lcss,1nn,outlier,0.0,0.86
ECG200,lcss,svm,outlier,0.0,0.86
ECG200,lcss,1nn,outlier,0.05,0.805
ECG200,lcss,svm,outlier,0.05,0.825
ECG200,lcss,1nn,outlier,0.1,0.795
ECG200,lcss,svm,outlier,0.1,0.83
ECG200,lcss,1nn,outlier,0.2,0.755
ECG200,lcss,svm,outlier,0.2,0.805
ECG200,lcss,1nn,outlier,0.4,0.765
ECG200,lcss,svm,outlier,0.4,0.76
ECG200,edr,1nn,jittering,0.0,0.88
ECG200,edr,svm,jittering,0.0,0.83
ECG200,edr,1nn,jittering,0.05,0.85
ECG200,edr,svm,jittering,0.05,0.825
ECG200,edr,1nn,jittering,0.1,0.84
ECG200,edr,svm,jittering,0.1,0.83
ECG200,edr,1nn,jittering,0.2,0.81
ECG200,edr,svm,jittering,0.2,0.795
ECG200,edr,1nn,jittering,0.4,0.725
ECG200,edr,svm,jittering,0.4,0.725
ECG200,edr,1nn,missing,0.0,0.88
ECG200,edr,svm,missing,0.0,0.83
ECG200,edr,1nn,missing,0.05,0.855
ECG200,edr,svm,missing,0.05,0.82
ECG200,edr,1nn,missing,0.1,0.85
ECG200,edr,svm,missing,0.1,0.82
ECG200,edr,1nn,missing,0.2,0.81
ECG200,edr,svm,missing,0.2,0.815
ECG200,edr,1nn,missing,0.4,0.795
ECG200,edr,svm,missing,0.4,0.78
ECG200,edr,1nn,outlier,0.0,0.88
ECG200,edr,svm,outlier,0.0,0.83
ECG200,edr,1nn,outlier,0.05,0.865
ECG200,edr,svm,outlier,0.05,0.82
ECG200,edr,1nn,outlier,0.1,0.845
ECG200,edr,svm,outlier,0.1,0.835
ECG200,edr,1nn,outlier,0.2,0.79
ECG200,edr,svm,outlier,0.2,0.8
ECG200,edr,1nn,outlier,0.4,0.7
ECG200,edr,svm,outlier,0.4,0.765
ECG200,erp,1nn,jittering,0.0,0.845
ECG200,erp,svm,jittering,0.0,0.815
ECG200,erp,1nn,jittering,0.05,0.855
ECG200,erp,svm,jittering,0.05,0.81
ECG200,erp,1nn,jittering,0.1,0.86
ECG200,erp,svm,jittering,0.1,0.81
ECG200,erp,1nn,jittering,0.2,0.825
ECG200,erp,svm,jittering,0.2,0.78
ECG200,erp,1nn,jittering,0.4,0.765
ECG200,erp,svm,jittering,0.4,0.76
ECG200,erp,1nn,missing,0.0,0.845
ECG200,erp,svm,missing,0.0,0.815
ECG200,erp,1nn,missing,0.05,0.83
ECG200,erp,svm,missing,0.05,0.815
ECG200,erp,1nn,missing,0.1,0.805
ECG200,erp,svm,missing,0.1,0.8
ECG200,erp,1nn,missing,0.2,0.81
ECG200,erp,svm,missing,0.2,0.785
ECG200,erp,1nn,missing,0.4,0.755
ECG200,erp,svm,missing,0.4,0.745
ECG200,erp,1nn,outlier,0.0,0.845
ECG200,erp,svm,outlier,0.0,0.815
ECG200,erp,1nn,outlier,0.05,0.79
ECG200,erp,svm,outlier,0.05,0.775
ECG200,erp,1nn,outlier,0.1,0.72
ECG200,erp,svm,outlier,0.1,0.745
ECG200,erp,1nn,outlier,0.2,0.63
ECG200,erp,svm,outlier,0.2,0.71
ECG200,erp,1nn,outlier,0.4,0.695
ECG200,erp,svm,outlier,0.4,0.685
ECG200,msm,1nn,jittering,0.0,0.9
ECG200,msm,svm,jittering,0.0,0.875
ECG200,msm,1nn,jittering,0.05,0.895
ECG200,msm,svm,jittering,0.05,0.875
ECG200,msm,1nn,jittering,0.1,0.895
ECG200,msm,svm,jittering,0.1,0.875
ECG200,msm,1nn,jittering,0.2,0.89
ECG200,msm,svm,jittering,0.2,0.865
ECG200,msm,1nn,jittering,0.4,0.81
ECG200,msm,svm,jittering,0.4,0.815
ECG200,msm,1nn,missing,0.0,0.9
ECG200,msm,svm,missing,0.0,0.875
ECG200,msm,1nn,missing,0.05,0.865
ECG200,msm,svm,missing,0.05,0.865
ECG200,msm,1nn,missing,0.1,0.89
ECG200,msm,svm,missing,0.1,0.86
ECG200,msm,1nn,missing,0.2,0.875
ECG200,msm,svm,missing,0.2,0.82
ECG200,msm,1nn,missing,0.4,0.845
ECG200,msm,svm,missing,0.4,0.825
ECG200,msm,1nn,outlier,0.0,0.9
ECG200,msm,svm,outlier,0.0,0.875
ECG200,msm,1nn,outlier,0.05,0.85
ECG200,msm,svm,outlier,0.05,0.835
ECG200,msm,1nn,outlier,0.1,0.785
ECG200,msm,svm,outlier,0.1,0.805
ECG200,msm,1nn,outlier,0.2,0.7
ECG200,msm,svm,outlier,0.2,0.77
ECG200,msm,1nn,outlier,0.4,0.735
ECG200,msm,svm,outlier,0.4,0.735
ECG200,twe,1nn,jittering,0.0,0.885
ECG200,twe,svm,jittering,0.0,0.84
ECG200,twe,1nn,jittering,0.05,0.87
ECG200,twe,svm,jittering,0.05,0.835
ECG200,twe,1nn,jittering,0.1,0.86
ECG200,twe,svm,jittering,0.1,0.83
ECG200,twe,1nn,jittering,0.2,0.86
ECG200,twe,svm,jittering,0.2,0.82
ECG200,twe,1nn,jittering,0.4,0.805
ECG200,twe,svm,jittering,0.4,0.8
ECG200,twe,1nn,missing,0.0,0.885
ECG200,twe,svm,missing,0.0,0.84
ECG200,twe,1nn,missing,0.05,0.885
ECG200,twe,svm,missing,0.05,0.825
ECG200,twe,1nn,missing,0.1,0.845
ECG200,twe,svm,missing,0.1,0.84
ECG200,twe,1nn,missing,0.2,0.855
ECG200,twe,svm,missing,0.2,0.8
ECG200,twe,1nn,missing,0.4,0.795
ECG200,twe,svm,missing,0.4,0.81
ECG200,twe,1nn,outlier,0.0,0.885
ECG200,twe,svm,outlier,0.0,0.84
ECG200,twe,1nn,outlier,0.05,0.82
ECG200,twe,svm,outlier,0.05,0.815
ECG200,twe,1nn,outlier,0.1,0.76
ECG200,twe,svm,outlier,0.1,0.77
ECG200,twe,1nn,outlier,0.2,0.72
ECG200,twe,svm,outlier,0.2,0.77
ECG200,twe,1nn,outlier,0.4,0.69
ECG200,twe,svm,outlier,0.4,0.74
ECG200,adtw,1nn,jittering,0.0,0.9
ECG200,adtw,svm,jittering,0.0,0.875
ECG200,adtw,1nn,jittering,0.05,0.905
ECG200,adtw,svm,jittering,0.05,0.87
ECG200,adtw,1nn,jittering,0.1,0.9
ECG200,adtw,svm,jittering,0.1,0.865
ECG200,adtw,1nn,jittering,0.2,0.895
ECG200,adtw,svm,jittering,0.2,0.875
ECG200,adtw,1nn,jittering,0.4,0.815
ECG200,adtw,svm,jittering,0.4,0.82
ECG200,adtw,1nn,missing,0.0,0.9
ECG200,adtw,svm,missing,0.0,0.875
ECG200,adtw,1nn,missing,0.05,0.875
ECG200,adtw,svm,missing,0.05,0.865
ECG200,adtw,1nn,missing,0.1,0.865
ECG200,adtw,svm,missing,0.1,0.85
ECG200,adtw,1nn,missing,0.2,0.86
ECG200,adtw,svm,missing,0.2,0.855
ECG200,adtw,1nn,missing,0.4,0.845
ECG200,adtw,svm,missing,0.4,0.81
ECG200,adtw,1nn,outlier,0.0,0.9
ECG200,adtw,svm,outlier,0.0,0.875
ECG200,adtw,1nn,outlier,0.05,0.705
ECG200,adtw,svm,outlier,0.05,0.73
ECG200,adtw,1nn,outlier,0.1,0.605
ECG200,adtw,svm,outlier,0.1,0.71
ECG200,adtw,1nn,outlier,0.2,0.585
ECG200,adtw,svm,outlier,0.2,0.705
ECG200,adtw,1nn,outlier,0.4,0.67
ECG200,adtw,svm,outlier,0.4,0.7
ECG200,dtw,1nn,jittering,0.0,0.825
ECG200,dtw,svm,jittering,0.0,0.72
ECG200,dtw,1nn,jittering,0.05,0.83
ECG200,dtw,svm,jittering,0.05,0.705
ECG200,dtw,1nn,jittering,0.1,0.815
ECG200,dtw,svm,jittering,0.1,0.715
ECG200,dtw,1nn,jittering,0.2,0.82
ECG200,dtw,svm,jittering,0.2,0.73
ECG200,dtw,1nn,jittering,0.4,0.795
ECG200,dtw,svm,jittering,0.4,0.72
ECG200,dtw,1nn,missing,0.0,0.825
ECG200,dtw,svm,missing,0.0,0.72
ECG200,dtw,1nn,missing,0.05,0.755
ECG200,dtw,svm,missing,0.05,0.76
ECG200,dtw,1nn,missing,0.1,0.75
ECG200,dtw,svm,missing,0.1,0.725
ECG200,dtw,1nn,missing,0.2,0.765
ECG200,dtw,svm,missing,0.2,0.715
ECG200,dtw,1nn,missing,0.4,0.725
ECG200,dtw,svm,missing,0.4,0.75
ECG200,dtw,1nn,outlier,0.0,0.825
ECG200,dtw,svm,outlier,0.0,0.72
ECG200,dtw,1nn,outlier,0.05,0.6
ECG200,dtw,svm,outlier,0.05,0.66
ECG200,dtw,1nn,outlier,0.1,0.555
ECG200,dtw,svm,outlier,0.1,0.675
ECG200,dtw,1nn,outlier,0.2,0.58
ECG200,dtw,svm,outlier,0.2,0.7
ECG200,dtw,1nn,outlier,0.4,0.655
ECG200,dtw,svm,outlier,0.4,0.68
ECG200,wdtw,1nn,jittering,0.0,0.825
ECG200,wdtw,svm,jittering,0.0,0.72
ECG200,wdtw,1nn,jittering,0.05,0.825
ECG200,wdtw,svm,jittering,0.05,0.725
ECG200,wdtw,1nn,jittering,0.1,0.83
ECG200,wdtw,svm,jittering,0.1,0.765
ECG200,wdtw,1nn,jittering,0.2,0.825
ECG200,wdtw,svm,jittering,0.2,0.755
ECG200,wdtw,1nn,jittering,0.4,0.805
ECG200,wdtw,svm,jittering,0.4,0.775
ECG200,wdtw,1nn,missing,0.0,0.825
ECG200,wdtw,svm,missing,0.0,0.72
ECG200,wdtw,1nn,missing,0.05,0.765
ECG200,wdtw,svm,missing,0.05,0.76
ECG200,wdtw,1nn,missing,0.1,0.81
ECG200,wdtw,svm,missing,0.1,0.775
ECG200,wdtw,1nn,missing,0.2,0.775
ECG200,wdtw,svm,missing,0.2,0.745
ECG200,wdtw,1nn,missing,0.4,0.755
ECG200,wdtw,svm,missing,0.4,0.765
ECG200,wdtw,1nn,outlier,0.0,0.825
ECG200,wdtw,svm,outlier,0.0,0.72
ECG200,wdtw,1nn,outlier,0.05,0.62
ECG200,wdtw,svm,outlier,0.05,0.71
ECG200,wdtw,1nn,outlier,0.1,0.605
ECG200,wdtw,svm,outlier,0.1,0.69
ECG200,wdtw,1nn,outlier,0.2,0.605
ECG200,wdtw,svm,outlier,0.2,0.76
ECG200,wdtw,1nn,outlier,0.4,0.655
ECG200,wdtw,svm,outlier,0.4,0.745
ECG200,ddtw,1nn,jittering,0.0,0.835
ECG200,ddtw,svm,jittering,0.0,0.78
ECG200,ddtw,1nn,jittering,0.05,0.845
ECG200,ddtw,svm,jittering,0.05,0.785
ECG200,ddtw,1nn,jittering,0.1,0.84
ECG200,ddtw,svm,jittering,0.1,0.785
ECG200,ddtw,1nn,jittering,0.2,0.81
ECG200,ddtw,svm,jittering,0.2,0.765
ECG200,ddtw,1nn,jittering,0.4,0.7
ECG200,ddtw,svm,jittering,0.4,0.785
ECG200,ddtw,1nn,missing,0.0,0.835
ECG200,ddtw,svm,missing,0.0,0.78
ECG200,ddtw,1nn,missing,0.05,0.815
ECG200,ddtw,svm,missing,0.05,0.74
ECG200,ddtw,1nn,missing,0.1,0.745
ECG200,ddtw,svm,missing,0.1,0.715
ECG200,ddtw,1nn,missing,0.2,0.685
ECG200,ddtw,svm,missing,0.2,0.71
ECG200,ddtw,1nn,missing,0.4,0.675
ECG200,ddtw,svm,missing,0.4,0.685
ECG200,ddtw,1nn,outlier,0.0,0.835
ECG200,ddtw,svm,outlier,0.0,0.78
ECG200,ddtw,1nn,outlier,0.05,0.61
ECG200,ddtw,svm,outlier,0.05,0.65
ECG200,ddtw,1nn,outlier,0.1,0.58
ECG200,ddtw,svm,outlier,0.1,0.69
ECG200,ddtw,1nn,outlier,0.2,0.62
ECG200,ddtw,svm,outlier,0.2,0.675
ECG200,ddtw,1nn,outlier,0.4,0.56
ECG200,ddtw,svm,outlier,0.4,0.685
ECG200,wddtw,1nn,jittering,0.0,0.845
ECG200,wddtw,svm,jittering,0.0,0.82
ECG200,wddtw,1nn,jittering,0.05,0.86
ECG200,wddtw,svm,jittering,0.05,0.815
ECG200,wddtw,1nn,jittering,0.1,0.86
ECG200,wddtw,svm,jittering,0.1,0.835
ECG200,wddtw,1nn,jittering,0.2,0.805
ECG200,wddtw,svm,jittering,0.2,0.82
ECG200,wddtw,1nn,jittering,0.4,0.695
ECG200,wddtw,svm,jittering,0.4,0.775
ECG200,wddtw,1nn,missing,0.0,0.845
ECG200,wddtw,svm,missing,0.0,0.82
ECG200,wddtw,1nn,missing,0.05,0.8
ECG200,wddtw,svm,missing,0.05,0.745
ECG200,wddtw,1nn,missing,0.1,0.725
ECG200,wddtw,svm,missing,0.1,0.71
ECG200,wddtw,1nn,missing,0.2,0.725
ECG200,wddtw,svm,missing,0.2,0.705
ECG200,wddtw,1nn,missing,0.4,0.705
ECG200,wddtw,svm,missing,0.4,0.74
ECG200,wddtw,1nn,outlier,0.0,0.845
ECG200,wddtw,svm,outlier,0.0,0.82
ECG200,wddtw,1nn,outlier,0.05,0.59
ECG200,wddtw,svm,outlier,0.05,0.605
ECG200,wddtw,1nn,outlier,0.1,0.615
ECG200,wddtw,svm,outlier,0.1,0.665
ECG200,wddtw,1nn,outlier,0.2,0.615
ECG200,wddtw,svm,outlier,0.2,0.7
ECG200,wddtw,1nn,outlier,0.4,0.58
ECG200,wddtw,svm,outlier,0.4,0.675
ECG200,shape_dtw,1nn,jittering,0.0,0.875
ECG200,shape_dtw,svm,jittering,0.0,0.805
ECG200,shape_dtw,1nn,jittering,0.05,0.865
ECG200,shape_dtw,svm,jittering,0.05,0.8
ECG200,shape_dtw,1nn,jittering,0.1,0.875
ECG200,shape_dtw,svm,jittering,0.1,0.81
ECG200,shape_dtw,1nn,jittering,0.2,0.87
ECG200,shape_dtw,svm,jittering,0.2,0.805
ECG200,shape_dtw,1nn,jittering,0.4,0.835
ECG200,shape_dtw,svm,jittering,0.4,0.75
ECG200,shape_dtw,1nn,missing,0.0,0.875
ECG200,shape_dtw,svm,missing,0.0,0.805
ECG200,shape_dtw,1nn,missing,0.05,0.85
ECG200,shape_dtw,svm,missing,0.05,0.78
ECG200,shape_dtw,1nn,missing,0.1,0.82
ECG200,shape_dtw,svm,missing,0.1,0.78
ECG200,shape_dtw,1nn,missing,0.2,0.775
ECG200,shape_dtw,svm,missing,0.2,0.695
ECG200,shape_dtw,1nn,missing,0.4,0.735
ECG200,shape_dtw,svm,missing,0.4,0.68
ECG200,shape_dtw,1nn,outlier,0.0,0.875
ECG200,shape_dtw,svm,outlier,0.0,0.805
ECG200,shape_dtw,1nn,outlier,0.05,0.705
